group,experiment,runs,movement,policy_v2,K1,C_STEAL,STEAL_RATE,RGS,surv_A_mean,surv_A_std,surv_B_mean,surv_B_std,surv_C_mean,surv_C_std,avg_cluster_C,max_cluster_C,avg_cluster_B,h1_passes,h1_rate,c_beats_b,c_beats_b_rate,kipp_punkt
A,exp10a_movement_only,20,ON,V2,15,2,4,OFF,0.7605,0.0522,0.1255,0.0344,0.688,0.0574,3.75,9.35,1.1,4,0.2,20,1.0,JA
A,exp10b_movement_harsh,20,ON,V2,30,5,3,OFF,0.2435,0.0433,0.486,0.0794,0.7405,0.055,4.03,9.9,1.71,0,0.0,20,1.0,JA
A,exp10c_movement_full,20,ON,V2,15,2,4,ON,0.7555,0.0465,0.1245,0.0435,0.679,0.06,3.73,9.25,1.11,3,0.15,20,1.0,JA
A,exp10d_static_control,20,OFF,V2,15,2,4,OFF,0.514,0.0305,0.516,0.0658,0.4635,0.0535,1.37,4.2,1.33,2,0.1,6,0.3,NEIN
B,sens_k1_10,10,ON,V2,10,1,5,OFF,0.789,0.0612,0.119,0.0484,0.689,0.0412,3.95,9.3,1.14,1,0.1,10,1.0,JA
B,sens_k1_15,10,ON,V2,15,2,4,OFF,0.756,0.0611,0.124,0.0443,0.68,0.0564,3.83,9.6,1.12,2,0.2,10,1.0,JA
B,sens_k1_20,10,ON,V2,20,3,4,OFF,0.558,0.0781,0.167,0.0617,0.693,0.0585,4.24,10.4,1.19,9,0.9,10,1.0,JA
B,sens_k1_25,10,ON,V2,25,4,3,OFF,0.32,0.0716,0.363,0.0785,0.73,0.056,4.03,9.2,1.48,4,0.4,10,1.0,JA
B,sens_k1_30,10,ON,V2,30,5,3,OFF,0.239,0.052,0.487,0.073,0.749,0.0458,3.97,10.5,1.66,0,0.0,10,1.0,JA
C,sens_move_ca_3,10,ON,V2,30,5,3,OFF,0.183,0.0275,0.523,0.067,0.643,0.0485,3.65,8.4,1.68,0,0.0,8,0.8,JA
C,sens_move_ca_5,10,ON,V2,30,5,3,OFF,0.195,0.0425,0.473,0.0756,0.672,0.0385,4.04,9.9,1.62,0,0.0,10,1.0,JA
C,sens_move_ca_7,10,ON,V2,30,5,3,OFF,0.229,0.0504,0.477,0.0481,0.725,0.046,3.92,9.0,1.63,0,0.0,10,1.0,JA
C,sens_move_ca_10,10,ON,V2,30,5,3,OFF,0.239,0.052,0.487,0.073,0.749,0.0458,3.97,10.5,1.66,0,0.0,10,1.0,JA
D,ablation_movement_only,20,ON,V1,30,5,3,OFF,0.2255,0.0566,0.48,0.0681,0.7315,0.053,4.03,8.85,1.64,0,0.0,20,1.0,JA
D,ablation_movement_trust,20,ON,V2,30,5,3,OFF,0.2435,0.0433,0.486,0.0794,0.7405,0.055,4.03,9.9,1.71,0,0.0,20,1.0,JA
D,ablation_movement_rgs,20,ON,V2,30,5,3,ON,0.211,0.0422,0.4965,0.0748,0.732,0.0488,4.06,9.45,1.66,0,0.0,20,1.0,JA
D,ablation_static_trust,20,OFF,V2,30,5,3,OFF,0.186,0.0362,0.761,0.0523,0.502,0.0473,1.36,4.25,1.49,0,0.0,0,0.0,NEIN
