seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.21,0.48,0.72,1.0,1,21,1.5483870967741935,5,31,3.6,13,20
2,0.21,0.51,0.78,1.0,1,21,1.9615384615384615,8,26,4.333333333333333,10,18
3,0.16,0.56,0.76,1.0,1,16,1.6470588235294117,7,34,3.8,7,20
4,0.26,0.42,0.73,1.0,1,26,1.5,8,28,3.4761904761904763,8,21
5,0.2,0.49,0.78,1.0,1,20,1.8148148148148149,6,27,5.2,9,15
6,0.21,0.52,0.76,1.0,1,21,1.793103448275862,5,29,4.0,10,19
7,0.22,0.4,0.64,1.0,1,22,1.4814814814814814,5,27,3.764705882352941,10,17
8,0.23,0.56,0.74,1.0,1,23,1.75,7,32,4.352941176470588,9,17
9,0.27,0.36,0.73,1.0,1,27,1.1612903225806452,3,31,4.294117647058823,9,17
10,0.17,0.54,0.72,1.0,1,17,1.588235294117647,3,34,3.6,9,20
11,0.18,0.66,0.79,1.0,1,18,1.7837837837837838,6,37,3.95,10,20
12,0.14,0.51,0.75,1.0,1,14,1.7,4,30,4.166666666666667,14,18
13,0.15,0.6,0.85,1.0,1,15,1.7142857142857142,7,35,5.3125,11,16
14,0.25,0.4,0.67,1.0,1,25,1.4285714285714286,4,28,3.526315789473684,8,19
15,0.17,0.44,0.67,1.0,1,17,1.5714285714285714,5,28,4.1875,7,16
16,0.26,0.42,0.74,1.0,1,26,1.6153846153846154,5,26,3.8947368421052633,9,19
17,0.19,0.49,0.71,1.0,1,19,1.8148148148148149,10,27,4.4375,12,16
18,0.2,0.57,0.67,1.0,1,20,1.9,7,30,3.526315789473684,8,19
19,0.28,0.5,0.72,1.0,1,28,1.6666666666666667,5,30,3.789473684210526,7,19
20,0.26,0.5,0.71,1.0,1,26,1.7857142857142858,5,28,3.9444444444444446,9,18
