condition,condition_label,model,n_slopes,gamma3_slope_mean,gamma3_slope_sd,mean_gamma1,mean_gamma2,mean_gamma3,mean_gamma_norm
A,Parallel,claude,15,-0.0016666666666666668,0.012953746428111425,0.30534999999999995,0.3369916666666667,0.44416666666666677,0.6670499999999999
A,Parallel,gpt4o,15,0.006349066666666668,0.009195675602203048,0.36445000000000005,0.4666666666666667,0.5666666666666667,0.8509416666666667
B,Sequential,claude,5,-0.0082142,0.01979761769001513,0.35395000000000004,0.345325,0.36875,0.6595000000000001
B,Sequential,gpt4o,5,0.0032142000000000004,0.010237328738494237,0.301075,0.46875,0.4862499999999999,0.7735000000000001
C,Coupled,claude,10,-0.030535800000000002,0.020830570279706168,0.3349875,0.3671625,0.24562499999999998,0.5990874999999999
C,Coupled,gpt4o,10,0.0282736,0.028430886925626814,0.3032875,0.450775,0.594375,0.8401499999999998
D,Persuasion-Ctrl,claude,8,0.015178625,0.014082006370212815,0.35853124999999997,0.35935937500000004,0.48124999999999996,0.731328125
D,Persuasion-Ctrl,gpt4o,6,0.0045635,0.01702703921120757,0.39160416666666675,0.4947916666666667,0.5604166666666667,0.8715208333333333
E,Shared Drift,claude,8,-0.00327375,0.008017464040633868,0.39353125,0.354515625,0.428125,0.7072812500000001
E,Shared Drift,gpt4o,12,0.009821416666666666,0.009416977525708393,0.4074479166666667,0.4049479166666667,0.5302083333333333,0.8090833333333333
