op_pair,op_a,op_b,r_reference_N300,r_gemini_N100,r_claude_N100,r_opus_N100,r_gpt4o_N100,sign_preserved,main_axis
Op1_Equilibrium <-> Op2_Attention,Op1_Equilibrium,Op2_Attention,,,,,,No,
Op1_Equilibrium <-> Op3_Modelling,Op1_Equilibrium,Op3_Modelling,-0.5445,-0.6681,-0.2994,-0.5314,-0.6734,Yes,
Op1_Equilibrium <-> Op4_Exit,Op1_Equilibrium,Op4_Exit,0.4525,0.1436,0.3425,0.3896,0.34,Yes,YES
Op1_Equilibrium <-> Op5_Kenotic,Op1_Equilibrium,Op5_Kenotic,-0.5116,-0.4925,-0.439,-0.4931,-0.4168,Yes,
Op1_Equilibrium <-> Op6_Resonance,Op1_Equilibrium,Op6_Resonance,,,,,,No,
Op1_Equilibrium <-> Op7_Coherence,Op1_Equilibrium,Op7_Coherence,0.5059,0.5448,0.6128,0.5971,0.0979,Yes,
Op1_Equilibrium <-> Op8_Teleology,Op1_Equilibrium,Op8_Teleology,-0.22,0.0611,0.0122,-0.0279,-0.0887,No,
Op2_Attention <-> Op3_Modelling,Op2_Attention,Op3_Modelling,,,,,,No,
Op2_Attention <-> Op4_Exit,Op2_Attention,Op4_Exit,,,,,,No,
Op2_Attention <-> Op5_Kenotic,Op2_Attention,Op5_Kenotic,,,,,,No,
Op2_Attention <-> Op6_Resonance,Op2_Attention,Op6_Resonance,,,,,,No,
Op2_Attention <-> Op7_Coherence,Op2_Attention,Op7_Coherence,,,,,,No,
Op2_Attention <-> Op8_Teleology,Op2_Attention,Op8_Teleology,,,,,,No,
Op3_Modelling <-> Op4_Exit,Op3_Modelling,Op4_Exit,-0.1354,0.0047,0.1598,-0.0044,-0.1352,No,
Op3_Modelling <-> Op5_Kenotic,Op3_Modelling,Op5_Kenotic,0.1382,0.2122,-0.043,0.0399,0.1583,Yes,
Op3_Modelling <-> Op6_Resonance,Op3_Modelling,Op6_Resonance,,,,,,No,
Op3_Modelling <-> Op7_Coherence,Op3_Modelling,Op7_Coherence,-0.024,-0.2317,0.0969,-0.0595,-0.0051,Yes,
Op3_Modelling <-> Op8_Teleology,Op3_Modelling,Op8_Teleology,0.1517,-0.0556,0.098,-0.1125,0.0833,No,
Op4_Exit <-> Op5_Kenotic,Op4_Exit,Op5_Kenotic,-0.7443,-0.6172,-0.7132,-0.6432,-0.7427,Yes,
Op4_Exit <-> Op6_Resonance,Op4_Exit,Op6_Resonance,,,,,,No,
Op4_Exit <-> Op7_Coherence,Op4_Exit,Op7_Coherence,0.411,0.5067,0.5555,0.5549,0.103,Yes,YES
Op4_Exit <-> Op8_Teleology,Op4_Exit,Op8_Teleology,-0.5843,-0.6412,-0.0087,-0.3299,-0.5252,Yes,
Op5_Kenotic <-> Op6_Resonance,Op5_Kenotic,Op6_Resonance,,,,,,No,
Op5_Kenotic <-> Op7_Coherence,Op5_Kenotic,Op7_Coherence,-0.6182,-0.4633,-0.7315,-0.7115,-0.3151,Yes,YES
Op5_Kenotic <-> Op8_Teleology,Op5_Kenotic,Op8_Teleology,0.2895,0.3374,-0.1449,0.0141,0.2088,Yes,YES
Op6_Resonance <-> Op7_Coherence,Op6_Resonance,Op7_Coherence,,,,,,No,
Op6_Resonance <-> Op8_Teleology,Op6_Resonance,Op8_Teleology,,,,,,No,
Op7_Coherence <-> Op8_Teleology,Op7_Coherence,Op8_Teleology,-0.0707,-0.0962,0.2506,-0.0818,-0.0645,Yes,
