test_id,description,predicted,pi_lower,pi_upper,observed,in_prediction_interval,verdict
P1a,||Γ|| Overall,0.802,0.621,0.982,0.3892,False,REFUTED
P1b,γ₁ Belief Inertia,0.368,0.336,0.4,0.3651,True,CONFIRMED
P1c,γ₂ Counterfactual Openness,0.498,0.382,0.615,0.4226,True,CONFIRMED
P1d,γ₃ Identity Threat Response,0.432,0.237,0.626,0.24,True,CONFIRMED
P1e,γ₃/γ₂ Ratio,0.867,0.7,0.95,0.568,False,REFUTED
P2_C0,||Γ|| under C0,0.751,,,0.4023,,REFUTED
P2_C1,||Γ|| under C1,0.875,,,0.3842,,REFUTED
P2_C2,||Γ|| under C2,0.817,,,0.3842,,REFUTED
P2_C3,||Γ|| under C3,0.762,,,0.386,,REFUTED
H1,Gemini ||Γ|| > Claude-family mean,> 0.445,,,0.3892,False,FAIL
H2,Gemini ||Γ|| < GPT-4o,< 0.497,,,0.3892,True,PASS
H3,Gemini γ₃ > Claude-family,> 0.301,,,0.24,False,FAIL
H4,Gemini γ₃ < GPT-4o,< 0.517,,,0.24,True,PASS
H5,Gemini kenotic < Claude,< -0.179,,,-0.1654,True,PASS
H6,Gemini rev.gen.(C2) < Claude,< 4.00,,,4.44,False,FAIL
H7,Gemini γ₃/γ₂ between C&G,0.715-0.944,,,0.568,False,FAIL
